"","country_or_area","Charcoal...Consumption.by.other.Metric.tons...thousand","Charcoal...Final.consumption.Metric.tons...thousand","Charcoal...Final.energy.consumption.Metric.tons...thousand","Charcoal...Total.energy.supply.Metric.tons...thousand","Electricity...Consumption.by.commercial.and.public.services.Kilowatt.hours..million","Electricity...Consumption.by.households.Kilowatt.hours..million","Electricity...Consumption.by.manufacturing..construction.and.non.fuel.industry.Kilowatt.hours..million","Electricity...Consumption.by.other.manuf...const..and.non.fuel.ind..Kilowatt.hours..million","Electricity...Consumption.by.other.Kilowatt.hours..million","Electricity...Final.energy.consumption.Kilowatt.hours..million","Electricity...Gross.demand.Kilowatt.hours..million","Electricity...Gross.production.Kilowatt.hours..million","Electricity...Losses.Kilowatt.hours..million","Electricity...net.installed.capacity.of.electric.power.plants..public.combustible.fuels.Kilowatts...thousand","Electricity...net.production.Kilowatt.hours..million","Electricity...Own.use.by.electricity..heat.and.CHP.plants.Kilowatt.hours..million","Electricity...total.net.installed.capacity.of.electric.power.plants..combustible.fuels.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity...autoproducer.Kilowatts...thousand","Electricity...total.net.installed.capacity.of.electric.power.plants..main.activity.Kilowatts...thousand","Electricity...total.production..main.activity.Kilowatt.hours..million","Electricity...total.thermal.production.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Kilowatt.hours..million","From.combustible.fuels...Autoproducer.Terajoules","From.combustible.fuels...Main.activity...Electricity.plants.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Kilowatt.hours..million","From.combustible.fuels...Main.activity.Terajoules","Fuel.oil...Total.energy.supply.Metric.tons...thousand","Fuelwood...Consumption.by.households.Cubic.metres..thousand","Fuelwood...Consumption.by.other.Cubic.metres..thousand","Fuelwood...Final.consumption.Cubic.metres..thousand","Fuelwood...Final.energy.consumption.Cubic.metres..thousand","Fuelwood...Production.Cubic.metres..thousand","Fuelwood...Total.energy.supply.Cubic.metres..thousand","Fuelwood...Transformation.Cubic.metres..thousand","Gas.Oil..Diesel.Oil...Consumption.by.transport.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Consumption.in.road.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Final.energy.consumption.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Imports.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Total.energy.supply.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity.plants...main.activity.producers.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.in.electricity..CHP.and.heat.plants.Metric.tons...thousand","Gas.Oil..Diesel.Oil...Transformation.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Imports.Metric.tons...thousand","Kerosene.type.Jet.Fuel...International.aviation.bunkers.Metric.tons...thousand","Kerosene.type.Jet.Fuel...Total.energy.supply.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.households.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Consumption.by.other.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Final.consumption.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Imports.Metric.tons...thousand","Liquefied.petroleum.gas..LPG....Total.energy.supply.Metric.tons...thousand","Liquified.Petroleum.Gas..LPG....Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Consumption.by.transport.Metric.tons...thousand","Motor.Gasoline...Consumption.in.road.Metric.tons...thousand","Motor.Gasoline...Final.consumption.Metric.tons...thousand","Motor.Gasoline...Final.energy.consumption.Metric.tons...thousand","Motor.Gasoline...Imports.Metric.tons...thousand","Motor.Gasoline...Total.energy.supply.Metric.tons...thousand"
"93","Honduras",20,20,20,19.9,1809,2195,1548,1548,4004,5552,8360,8038,2809,958,8038,0,1139,1915,1734,7687,5038,351,NA,4687,4687,NA,1106,8308.702791,8308.702791,9058.894362,9058.894362,9184.893268,9184.893268,126,551,551,683,683,761,841,158,158,158,67,67,0,119,119,119,497,120,119,545,545,545,545,497,545
"94","Hungary",1.275,1.275,1.275,1.275,7645,10423,14678,10889,18880,34704,40517,29371,3631,6161,27131,2240,6333,8809,8547,28729,12652,531,1150,8612,12121,38522,63,1456.048166,1973.180077,2432.512315,2432.512315,5018.281336,4959.168035,2526.65572,2414,2357,2874,2868,1421,3489,2,5,7,0,171,0,54,94,446,243,542,267,1278,1278,1278,1278,442,1292
"95","Iceland",NA,NA,NA,NA,1026,842,14682,13631,2144,16830,17475,18122,498,114,17673,449,114,2766,2766,18122,3,NA,NA,3,3,NA,72,NA,NA,NA,NA,NA,NA,NA,121,117,292,292,288,291,1,1,1,188,177,12,1,1,2,2,2,2,132,132,132,132,133,132
"96","India",3187,3187,3187,3187,78391,217405,418346,303929,513804,948327,1283905,1308873,241550,198745,1278907,29966,241396,316379,271722,1146816,1111341,159837,NA,951504,951504,NA,6759,292411.9321,323542.3098,395029.6661,395029.6661,438530.4871,438530.4871,43500.763,50352,47313,61493,61493,191,70540,197,6536,6536,0,3798,1700,16040,16144,17568,8318,19791,17568,18587,18587,18587,18587,328,18587
"97","Indonesia",406,406,406,406,48614,84086,36737,27431,133196,170088,224780,220793.8,21423,45258,215790,5003.8,53692,60587.83,51650.83,175296.8,191991,41513,NA,150478,150478,NA,4122,175714.5047,176620.5802,199723.2622,199723.2622,206307.7176,206307.7176,6584.455391,14186,13713,18401,18371,9739,25820.2,4407,5896,5896,765,1297,1740,5843,5843.4,6722.4,3590,6726,6722.4,22468,22468,23764,23764,14932,23804
"98","Iran (Islamic Rep. of)",7,7,7,7,35171,71163,75689,75689,145359,221411,259832,274609,34610,57500,265720,8889,63080.6,73000.7,67420.1,268339,255917,6270,NA,249647,249647,NA,13518,8100,8100,8100,8100,8100,8100,6,17466,17465,23227,23227,259,29672,7464,7480,7480,NA,1248,4,1636,2020,2060,38,4150,2060,18649,18649,18721,18721,1230,17586
"99","Iraq",25,25,25,25,2866,15826,10071,10071,33922,43993,78306,67768,34312,23076,66055,1713,23076,25589,25589,67768,64837,NA,NA,64837,64837,NA,12692,NA,29.88505747,29.88505747,29.88505747,203.1746032,203.1746032,173.2895457,4494,4494,6741,6741,11229,16328,9915,9915,9915,312,527,0,1668,1668,1668,328,1668,1668,4707,4707,4707,4707,1851,4304
"100","Ireland",NA,NA,NA,NA,6439,7704,9396,7689,14701,24136,26955,26314,2044,5995,25307,1007,6337,9078,8735,24241,20185,2072,NA,18113,18113,NA,111,117.6792556,245.210728,740.8866995,740.8866995,808.5385878,1000.766284,266.7761357,2430,2389,3151,3151,2227,3198,7,7,7,898,704,190,55,65,120,98,127,120,1146,1144,1146,1146,882,1151
"101","Isle of Man",NA,NA,NA,NA,4,157,137,137,231,368,418,504,50,185.1,461,43,185.1,186.1,186.1,504,500,NA,NA,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Israel",6,6,6,6,15953,15981,15211,14667,36107,51318,53980,60813,1738,15064,58824,1989,15526,16223,15078,57478,59954,2490,NA,57464,57464,NA,843,20.03284072,20.03284072,20.03284072,20.03284072,20.03284072,20.03284072,0,2505,2505,2529,2529,499,2696,17,17,17,129,1061,0,120,249,638,231,704,438,2844,2844,2844,2844,566,2832
"103","Italy",60,70,70,70,88489,64255,112918,80360,158117,281498,310535,279827,19451,67419,269148,10679,71272,121762,117688,264085,175510,14749,73296,90017,160761,131892,2257,25213.7931,25584.01752,26906.40394,26906.40394,28995.18336,35993.76026,9087.356322,23576,22940,27569,27262,3168,27792,91,119,226,1574,2995,736,983,1420,3154,2204,3351,3112,8095,8095,8797,8412,385,8848
"104","Jamaica",38.4,38.4,38.4,38.4,1050.9,981.7,957.7,957.7,2050.3,3008,4111,4123,1103,611.5,4111,12,873.7,944.5,643.6,2462,3869,1542,NA,2327,2327,NA,1273.841,89.10344828,89.10344828,89.10344828,89.10344828,303.5862069,303.5862069,214.4827586,221.604,221.604,263.2436,263.2436,301.36,419.2613,188.611,188.611,188.611,112.105,196.04,-5.752,30.773,68.198,69.898,67.382,72.558,69.898,459.8514,459.8514,470.9662,470.9662,316.3934,419.381
"105","Japan",12,12,12,12,340634,273938,295623,180972,638038,951487,998941,1040676,45414,143777,1006879,33797,194857,315318,234028,864204,921613,130206,NA,791407,791407,13697,17463,54.40613027,54.40613027,524.4663383,524.4663383,4874.110564,4874.110564,4349.644226,21211,20059,36693,36551,570,38441,298,725,725,467,6026,4263,4048,6699,12428,11645,15625,8850,39004,39004,39004,39004,1107,38309
"106","Jersey",NA,NA,NA,NA,61.6,302.8,285.2,285.2,364.4,649.6,696.7,135.3,44.9,212,115.4,19.9,240,240,212,98.8,135.3,36.5,NA,98.8,98.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,12.2,30.2,30.2,NA,NA,20.8,20.8,20.8,NA,NA,NA,NA,NA,6.342495,NA,NA,6.342495,39.59367946,39.59367946,39.59367946,39.59367946,NA,NA
"107","Jordan",47.464,47.464,47.464,47.464,2673.3,6583.4,3779.8,3582.8,11540.9,15320.7,18009,18270.4,2569,3987,17638,632.4,4186,4199.4,4000.4,17887.4,18210,383,NA,17827,17827,NA,2041.1,66.531,66.531,66.531,66.531,334,334.041,267.51,1102.5,1102.5,1559.3,1559.3,2373.4,3276.4,1633.9,1633.9,1633.9,25.8,118.8,209,295.23,359.5,367.05,281.8,366.92,367.05,1165.2,1165.2,1165.2,1165.2,520,1152.9
"108","Kazakhstan",3.6,3.6,3.6,3.58,8475,11629,45529,19419,20860,68900,84122,105068,7082,22500,85290,19778,22500,25011,25010,105067,96791,NA,NA,NA,96791,398902,1190,100.711549,100.711549,100.711549,100.711549,100.711549,100.711549,3,555,364,3877,3877,618,3811,NA,NA,NA,NA,226,75,249,285,431,1,456,431,3814,3814,3814,3814,1143,3825
"109","Kenya",6387.2,6387.2,6387.2,6387.2,1485.6,1947.2,3988,3988,3797.7,7785.7,9226.6,9138.6,1662.2,734.1,9095.2,43.4,734.1,2094.4,2094.4,9138.6,2635.2,NA,NA,2585.2,2635.2,NA,328.1,12458,12458,12458,12458,64984,64984,38684,1474.8,1459.8,1618.8,1618.8,8289,1708,170,170,170,209.9,209.9,-37.6,130.3,132.2,149.7,159.1,149.7,149.7,880,880,891.8,891.8,3850.2,894.5
"110","Kiribati",0.377,0.377,0.377,0.377,NA,22.9,NA,NA,22.9,22.9,22.9,24.3,NA,5.45,22.9,1.4,5.45,6.021,6.021,24.3,24.3,NA,NA,24.3,24.3,NA,NA,1.061,1.061,1.061,1.061,3.14,3.261,2.2,6.5,6.5,6.5,6.5,13.2,13.2,6.7,6.7,6.7,1.1,1.1,0,0.12,0.12,0.12,0.12,0.12,0.12,4.2,4.2,4.2,4.2,4.2,4.2
"111","Korea, Dem.Ppl's.Rep.",162,162,162,162,NA,NA,6689,6689,6689,13378,16210,17909,2832,4500,16210,1699,4500,9500,9500,17909,4909,NA,NA,4909,4909,NA,372,NA,3467.104543,3467.104543,3467.104543,5027.695676,5027.695676,1560.591133,235,235,235,235,44,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,189,11,189
"112","Korea, Republic of",NA,NA,NA,NA,148741,62928,259606,156464,225225,486834,523363,550933,18270,62121,530007,20926,69122,99830,92115,517962,381510,32466,137487,324873,349044,66305,6495,103.9956212,3881.226054,7031.636563,7031.636563,8139.354132,8139.354132,1107.71757,15928,15723,20120,20120,831,19586,94,121,122,NA,4032,1311,745,1511,7295,5344,7155,5635,8612,8612,8612,8612,NA,7539
"113","Kuwait",51.645,51.645,51.645,51.645,15431,27621,NA,NA,43052,43052,57553,65140,7596,15719,57553,7587,15819,15819,15719,65140,65140,NA,NA,65140,65140,NA,7530,2,2,2,2,19.25,19.821,17.79,1318,1318,2197,2197,NA,3588,1391,1391,1391,NA,708,0,141,141,141,NA,141,141,2871,2871,2871,2871,NA,2871
"114","Kyrgyzstan",NA,NA,NA,NA,895,7705,1175,1132,9577,10984,14516,14572,3458,795,14302,270,800,3864,3859,14552,1274,20,497,NA,1254,13361,210,11.16584565,13.24575765,13.24575765,13.24575765,14.23098,14.23098,NA,326,316,503,503,509,503,NA,NA,NA,96,4,2,NA,NA,NA,NA,NA,NA,417,417,432,432,676,441
"115","Lao People's Dem. Rep.",NA,NA,NA,-77.994,NA,1424,1564,1564,2204,3768,4741,4380,400,50,3885,495,50,3284,3108,4185,300,NA,NA,300,300,NA,34.3,5762.286,5762.286,5762.286,5762.286,5899.357,5899.286,137,25.3,25.3,25.3,25.3,25.3,25.3,NA,NA,NA,12.5,11.2,1.3,21.2,21.2,21.2,21.2,21.2,21.2,29,29,29,29,29,29
"116","Latvia",3,3,3,3,2882,1747,1667,1592,4798,6582,7047,5141,465,1265,4732,409,1306,2967,2924,4884,3006,246,2003,2,2760,23737,1,3420,3934,6011,6011,10325,7668,1657,670,598,881,881,1449,888,NA,0,0,111,106,1,22,26,93,197,93,93,196,196,205,205,215,213
"117","Lebanon",19,19,19,19,2715,6180,4255,4255,11955,16210,18088,17952,1879,2038,17952,0,2988,3261.6,2311.6,12387,17759,5565,NA,12194,12194,NA,1456,449.69896,449.69896,449.69896,449.69896,546.031746,546.031746,96.33278599,36,36,717,717,3317,3317,1334,2600,2600,229,229,0,247,247,247,247,247,247,1720,1720,1720,1720,1720,1720
"118","Lesotho",103.914,103.914,103.914,103.914,210,250,225,225,460,685,783.48,515.2,98,NA,515.2,0,NA,80,80,515.2,NA,NA,NA,NA,NA,NA,NA,1500.509,1500.509,1500.509,1500.509,2123.509,2123.509,623,60,60,84,84,84,84,NA,NA,NA,0.4,0.4,0,8.8,8.8,8.8,8.8,8.8,8.8,77.6,77.6,77.6,77.6,77.6,77.6
"119","Liberia",271.535,271.535,271.535,271.535,NA,NA,NA,NA,256,256,280,300,24,21,280,20,91,91,21,100,300,200,NA,100,100,NA,30,NA,6414.644,6414.644,6414.644,8043.818,8043.818,1629.174,47.676399,47.676399,72.165599,72.165599,148.3172437,143.2685437,61.227112,61.227112,61.227112,25.078,5.6411,19.4369,NA,3,3,3,3,3,53.7500766,53.7500766,53.7500766,53.7500766,59.6773501,59.6773501
"120","Libya",NA,NA,NA,NA,3837,4288,1560,1560,9330,10890,37187,37731,26297,9455,37099,632,9455,9455,9455,37731,37731,NA,NA,37731,37731,NA,1719,693.2676519,693.2676519,693.2676519,693.2676519,693.2676519,693.2676519,NA,2168,2168,2168,2168,4218,5496,3328,3328,3328,NA,119,0,303,303,303,NA,303,303,3822,3822,3822,3822,3306,3822
"121","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,395.3,395.3,395.3,40.4,NA,1,40.4,0,1,13,13,40.4,2.5,NA,NA,0,2.5,NA,NA,18.139,18.139,18.139,18.139,18.139,18.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Lithuania",1,1,1,1,3218,2656,3119,2349,6055,9237,10824,4397,815,2778,4144,253,3026,4285,4012,3661,2354,493,1177,NA,1861,31243,114,2329.611385,2536.07006,2910.125889,2910.125889,5117.569787,4968.582376,2057.471264,1182,1118,1266,1266,1010,539,NA,1,1,29,75,744,32,35,170,112,230,170,193,193,193,193,22,135
"123","Luxembourg",NA,NA,NA,NA,1948,942,3175,1171,2930,6228,6336,2967,120,465,2938,29,524,2022,1851,2696,1623,170,605,89,1453,2982,0,98.41269841,101.0399562,196.6064587,196.6064587,275.0957854,267.5424193,70.93596059,1738,1734,1956,1956,1969,1955,NA,0,0,394,394,0,NA,7,8,9,8,8,310,310,310,310,310,310
"124","Madagascar",1559.968,1559.968,1559.968,1559.968,78,554.87,633.274,633.274,632.87,1266.144,1633.5,1658.5,42,347,1633.5,25,379,508,476,1488.5,773.94,170,NA,603.94,603.94,NA,90,4248.881,4248.881,4248.881,4248.881,13609,13608.881,9360,200,200,280,280,400,400,120,120,120,54,54,0,13,13,13,13,13,13,95,95,95,95,95,95
"125","Malawi",538.982,538.982,538.982,538.982,230,550,570,570,1209,1779,1977.1,2097.51,198,1.1,1995,102.51,211.1,501.45,286.95,1916.5,181.01,176.01,NA,5,5,NA,2,2420.985,2420.985,2420.985,2420.985,5660.073,5658.753,3237.768,123.35,123.35,123.35,123.35,170.15,170.15,1.8,46.8,46.8,8,7,1,NA,NA,2.2,2.2,2.2,NA,95.78,95.78,95.78,95.78,95.78,95.78
"126","Malaysia",NA,NA,NA,-1.78e-15,41445,27266,58948,58948,69129,128333,131887,147461,0,22695,131876,15585,25039.7,29974,27623,142788,133846,4673,NA,129173,129173,NA,576,2488.467,2488.467,2488.467,2488.467,2664.379,2662.971,174.504,8132,8132,10005,10005,5834,10507,612,637,637,369,2447,603,588,1250,2417,382,2374,1359,11738,11738,12092,12092,7741,12355
"127","Maldives",1.137,1.137,1.137,1.137,5.7,150,NA,NA,294.91,294.91,310.91,328.91,16,266,310.91,18,266,270.5,270.5,328.91,326.91,NA,NA,326.91,326.91,NA,NA,11.554,11.554,11.554,11.554,16.048,16.554,5,240,113,248,248,386,342,94,94,94,223.024,187,36.024,13.656,13.656,13.656,13.656,13.656,13.656,36.393,20.393,36.393,36.393,44.393,36.393
"128","Mali",170.89,170.89,170.89,170.89,420,250,670,670,670,1340,1379.37,1679.37,140,290,1679.37,1.14e-13,400,890,780,1627.37,959.35,52,NA,907.35,907.35,NA,37,4534.7,4534.7,4534.7,4534.7,5567.6,5564.9,1030.2,45,45,45,45,323,323,267,278,278,22,22,0,NA,NA,NA,NA,NA,NA,67,67,76,76,76,76
"129","Malta",0.38,0.38,0.38,0.38,940,640,413,369,1619,2032,2137,2245,105,620,2137,108,623,698,675,2170,2177,7,1,2170,2170,NA,475,4.926108374,4.926108374,4.926108374,4.926108374,NA,4.926108374,NA,100,91,137,137,406,195,54,54,54,108,108,1,11,19,22,22,21,22,72,72,73,73,78,73
"130","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,74.2,74.2,85.2,85.2,11,33,85.2,0,33,33.5,33.5,85.2,85,NA,NA,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.24,33.24,18.5,18.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Martinique",1.89,1.89,1.89,1.89,NA,485.436,30,30,1514.147,1544.147,1562,1764.463,7.9,424,1562,202.463,428,491.6,487.6,1734.463,1718.798,30,NA,1688.798,1688.798,NA,383.134,NA,NA,NA,NA,10,10,10,130,130,130,130,36.292,155.447,26,26,26,NA,85,0,NA,11.814,11.814,2.858,11.814,11.814,123.391,123.391,123.391,123.391,16.6,123.391
"132","Mauritania",206.3,206.3,206.3,206.3,414,236,211.9,211.9,650,861.9,890.3,910,164.1,236.25,755.3,154.7,315,315,236.25,530,910,380,NA,530,530,NA,207.1,768.2,768.2,768.2,768.2,2006,2006,1237.8,275,275,360.7,360.7,477.2,477.2,45,116.5,116.5,28.6,28.6,0,46.2,46.2,46.2,46.2,46.2,46.2,25.7,25.7,25.7,25.7,25.7,25.7
"133","Mauritius",0.6,0.6,0.6,0.6,895.6,806.5,715.2,715.2,1736.8,2452,2892.9,2935.9,182,428,2892.9,43,703,783,490,1175.3,2817.3,1736,NA,1081.3,1081.3,NA,266,15,15,16,16,18,18,3.6,166,165,204,204,304,206,1,1,1,232,122,122,48,62,71,76,76,71,140,137,140,140,138,141
"134","Mayotte",1,1,1,1,83.7,190,NA,NA,273.7,273.7,283.3,299.3,10,78,283.3,16,78,91,91,299.3,282.7,NA,NA,282.7,282.7,NA,NA,26.5,26.5,26.5,26.5,26.5,26.5,NA,19,19,19,19,81,78.5,59.5,59.5,59.5,4.4,4.4,0,2.7,2.7,2.7,2.7,2.7,2.7,12,12,12,12,12,12
"135","Mexico",0,0,0,0,22944,53914,142326,129909,108764,252220,289521,301496,41322,39294,290050,11446,48893,66238,54379,258258,240279,37933,NA,202346,202346,NA,8198,27338.25944,27338.25944,27338.25944,27338.25944,27835.13957,27835.13957,496.8801314,14909,13562,19183,19183,6588,25288,313,497,497,545,3034,-14,5353,6798,8900,2893,8866,8870,32434,32434,32434,32434,14891,32445
"136","Micronesia (Fed. States of)",0.36,0.36,0.36,0.36,26,25,4,4,51,55,69.56,69.56,14.56,31.5,69.56,0,31.5,34.3,34.3,69.56,67.56,NA,NA,67.56,67.56,NA,NA,0.62,0.62,0.62,0.62,2.57,2.79,2.17,11,NA,11,11,27,27,16,16,16,4.3,1,3.3,NA,NA,NA,NA,NA,NA,17.85,5,17.85,17.85,17.85,17.85
"137","Mongolia",NA,NA,NA,NA,NA,1251.4,3171.6,3171.6,1775.5,5158.5,7268.4,6725,792.6,1190,5952.6,772.4,1370,1370,1190,5375.8,6725,1349.2,NA,215,5375.8,42003.3,3.1,600,600,600,600,600,600,NA,NA,NA,608.8,608.8,685.9,685.9,77,77,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,416,416,416,416,416
"138","Montenegro",0.67,0.67,0.67,0.67,623,1182,760,740,1818,2610,3166,3040,557,210,2905,135,210,870,868,3038,1322,NA,NA,1322,1322,NA,4,689,708,747,747,797,751,4,127,125,170,170,177,170,NA,NA,NA,18,17,0,1,2,16,18,16,16,33,33,35,35,43,35
"139","Montserrat",NA,NA,NA,NA,5.521,5.343,9,9,10.864,19.864,22,24,3,5.44,22,2,5.44,5.44,5.44,24,24,NA,NA,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,3.4,3.4,9.9,8.9,5.5,5.5,5.5,0.02,0.02,0,0.6,0.6,0.6,0.6,0.6,0.6,5.4,5.4,5.4,5.4,5.4,5.4
"140","Morocco",112.76,112.76,112.76,112.76,5368,9577,10505,9532,17969,28806,34086,29142,4227,4657,28595,547,4993.25,7263.25,6927,27945,25185,1197,NA,23988,23988,NA,1661,6027.51,6027.51,6027.51,6027.51,6699.7,6699.71,672.2,4240,4231,5199,5199,2990,5174,15,15,15,30,630,0,2026,2185,2305,2244,2315,2305,556,556,570,570,181,540
"141","Mozambique",712,712,712,715,60,1629,10651,10651,1691.32,12342.32,14958,17739,2612,359,17501,238,359,2682.36,2596,17271,1379,NA,NA,1379,1379,NA,0,28448.4948,28448.4948,32483.08703,32483.08703,39186.86371,39186.86371,6703.776683,796.3381,796.3381,929.0611,929.0611,1327,1307,371.6244,371.6244,371.6244,156,120,36,21,23,23,23,23,23,427,427,427,427,404,434
"142","Myanmar",28,28,28,28,NA,4112.83,7142.12,7142.12,4112.83,11254.95,14004.5,14156.3,2749.54,1164,14004.5,151.8,1620,4805,4177,11197.39,5327.46,2281.08,NA,3046.38,3046.38,NA,71.83,47030.65134,47030.65134,47030.65134,47030.65134,47316.69403,47316.69403,286.0426929,351,351,1786,1786,2226.46,2881.76,100,100,100,114.01,40,89.47,NA,27,27,22.5,23.17,27,741,741,906,906,893.8,1336.6
"143","Namibia",7,7,7,7,NA,NA,716,716,3031,3747,4300,1498,543,155,1498,0,155,487,487,1498,13,NA,NA,13,13,NA,17,410.9469075,410.9469075,410.9469075,410.9469075,1363.765736,1363.765736,952.8188287,290,268,722,722,726,726,4,4,4,54,43,11,NA,2,12,12,12,12,299,299,301,301,301,301
"144","Nauru",NA,NA,NA,NA,13.25,10,NA,NA,23.25,23.25,25.054,25.054,1.8,6,25.054,0,6,6.07,6.07,25.054,25,NA,NA,25,25,NA,5.3,NA,NA,NA,NA,NA,NA,NA,1.6,NA,1.6,1.6,8.7,8.7,7.1,7.1,7.1,1.37,1.37,0,0.01,0.01,0.01,0.01,0.01,0.01,1.26,NA,1.26,1.26,1.26,1.26
"145","Nepal",82.137,82.137,82.137,82.137,453.12,1571,1251.69,1251.69,2233.28,3491.19,4808.26,3507.65,750,53.4,3492.91,14.74,53.4,829.19,654.19,3367.65,9.65,NA,NA,9.65,9.65,NA,2.2,39848.88944,39848.88944,39848.88944,39848.88944,41725.88944,41748.88944,1900,783.7,783.7,921.7,921.7,921.7,921.7,NA,NA,NA,139.4,139.4,0,147,247.3,258.3,258.3,258.3,258.3,287.5,287.5,287.5,287.5,287.5,287.5
"146","Netherlands",9,9,9,9,35506,22896,33289,18372,66625,101630,113501,103418,4934,22092,98774,4644,27286,31762,24969,81458,92488,20048,54046,45153,72440,93111,2217,1982.594417,2350.410509,2841.269841,2841.269841,4474.54844,3819.704433,978.4345922,5869,5540,6929,6929,15403,7382,NA,68,68,2614,3481,68,22,49,3787,4823,4788,267,3816,3816,3816,3816,9500,-2967
"147","New Caledonia",0.12,0.12,0.12,0.12,355.3,272,1826,1826,627.3,2453.3,2559,2621.84,105,504.6,2559,62.84,564.6,682.7,622.2,2380.24,2271.8,241,NA,2030.8,2030.8,NA,439.7,NA,0.16092,0.16092,0.16092,NA,0.16092,NA,121.2,115.1,229.1,229.1,343.2790698,335.4790698,6.3,63.3,63.3,9.67,4.67,5,8,8,17.7,17.7,17.7,17.7,69.683973,69.683973,70.383747,70.383747,70.383747,70.383747
"148","New Zealand",NA,NA,NA,NA,9353,12362,13875,12904,24699,38636,42239,43553,2847,2520,42239,1314,2741,9704,9434,42155,9694,1277,NA,7129,8417,NA,70,628.8998358,628.8998358,4504.871374,4504.871374,4938.47838,4938.47838,433.607006,1959,1855,2752,2752,765,2711,0,0,0,141,791,326,58,83,152,1,156,152,2221,2221,2260,2260,1090,2384
"149","Nicaragua",20,20,20,19,1039,1070,1105,1105,2220,3325,4256,4444,926,733,4283,161,867,1328.9,1194,3899,2541,544,NA,1997,1997,NA,474,4103.119869,4422.44116,4526.765188,4526.765188,4590.58566,4590.58566,124.137931,355,300,506,506,285,515,9,15,15,NA,21,7,40,84,94,83,98,94,245,245,266,266,163,268
"150","Niger",48.15,48.15,48.15,48.15,76,500.5,214.5,214.5,582.8,797.3,961.9,438.757,185,134,387.8,50.957,172,176,134,382.752,438.752,56,NA,382.752,382.752,NA,0.34,6287.065704,6287.065704,6287.065704,6287.065704,6575.951515,6575.951515,288.8858118,171.6,171.6,254,254,10.1,304.4,NA,46,46,32,29,3,15.2,15.2,15.2,0,35.6,15.2,146.3,146.3,146.3,146.3,3.06,140.19
"151","Nigeria",3828,3844,3844,3844,6379,14003,4057,4057,20382,24439,29520,30390,4895,5418,29520,870,8418,10396,7356,24808,25044,5473,NA,19571,19571,NA,665,168895.3476,179041.5982,197529.7209,197529.7209,249372.1949,249372.1949,51842.474,518,506,528,528,NA,553,NA,NA,NA,255,302,0,21,61,62,NA,72,62,6323,6323,6323,6323,5781,6323
"152","Niue",0.003,0.003,0.003,0.003,1.234166667,1.048056,0.565555556,0.565555556,2.282222667,2.847778222,3.06,3.226666667,0.211111,2.084,3.06,0.166666667,2.084,2.427,2.427,3.226666667,3.16,NA,NA,3.16,3.16,NA,NA,0.028,0.028,0.028,0.028,0.046,0.046,0.018,0.22834886,0.226907,0.289162395,0.289162395,1.178,1.178,0.73,0.73,0.73,0.500454,0.498889,0.001565,0.0188,0.0344,0.0344,0.0342,0.0342,0.0344,0.653815,0.653815,0.678329673,0.678329673,0.67833,0.67833
"153","Northern Mariana Islands",NA,NA,NA,NA,NA,97.7,NA,NA,325.7,325.7,418.9,418.9,93.2,94.5,418.9,0,94.5,94.5,94.5,418.9,418.9,NA,NA,418.9,418.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
