,,per.access.to.electricity,per.ag.land,per.arable.land,per.armed.forces.of.pop,tot.threatened.birds,birth.rate.per1000,fisheries.production,co2.emissions.metric.tons,compulsory.edu.years,cpi,current.account.balance,per.health.expenditures.gdp,death.rate.per1000,ease.of.doing.business.score,tot.employers.per.employment,per.employed.ag,per.employed.industry,per.employed.service,exports.per.gdp,fertility.rate.per.woman,broadband.per100,fish.threatened,food.exports.per.all.exports,food.imports.per.all.imports,fdi.per.gdp,forest.per.all.land,gdp.per.capita,gdp.growth,edu.expend.per.gdp,human.capital.index,imports.per.gdp,hiv.per1000,inflation.percentage,tourism.per.all.imports,labor.force.participation.per.tot.pop,land.area.sq.km,life.expectancy.years,methane.emissions.kt,expend.military.per.gdp,cellular.subscriptions.per100,infant.mortality.rate.per1000,aid.usd,no2.emissions.metric.tons,oil.rents.per.gdp,per.open.defecation,per.access.drinking.water,per.basic.sanitation,cropland.per.all.land.area,remittances.per.gdp,plants.threatened,population.density,population.growth,female.pop.per.total,male.pop.per.total,pop.total,per.undernourishment,per.primary.edu.completion,per.rural.pop,tot.surface.area.km2,tax.revenue.per.gdp,protected.area.per.total.terrestrial.area,terrrestrial.protected.area.per.total.land,alcohol.percap.liters,tot.greenhouse.gas.emissions.kt,trade.per.gdp,unemployment.rate,per.urban.pop,urban.pop.growth
Bhutan,BTN,99.97436523,13.45044573,2.46460409,,21,17.259,15,1.829277992,,162.7462862,-19.54146409,3.2427721,6.245,65.96848,0.090000004,56.11999893,10.22000027,33.65999985,30.81770601,1.975,1.43188916,3,,,0.108279484,71.34556896,3243.477437,3.055129837,6.850840092,,53.36930561,0.11,2.723963862,6.327688361,62.65100098,38140,71.46,860,,93.26155771,24.7,42710000.11,190,0,0.559776079,97.25944181,73.94374505,0.157315155,2.376448329,43,19.77965391,1.17777914,47.00263522,52.99736478,754396,,88.1620636,59.105,38390,16.0175848,48.00785105,48.00785105,0.43,2470,84.18701163,2.444000006,40.895,2.974001214
Bosnia and Herzegovina,BIH,100,43.18359375,20.09765625,0.884317017,7,8.111,305,6.781131607,9,104.3091043,-3.279727822,8.89146042,10.712,65.37254,4.920000076,15.72999954,32.13000107,52.13999939,42.51854485,1.265,21.55180998,36,6.905822716,15.81183855,2.982460764,42.73261719,6070.349081,3.740071092,,0.61926502,57.25631974,,1.41710814,3.271040803,41.90999985,51200,77.262,3380,0.852548557,104.1256346,5.2,270200000.2,1090,0,0,96.13317676,95.38506184,1.953125,11.21490334,3,64.92048828,-0.827063452,51.01053603,48.98946397,3323929,2.5,85.42336273,51.755,51210,20.44076097,1.395147508,1.395501571,7.15,27190,99.77486459,18.39999962,48.245,-0.059223058
Brazil,BRA,99.69999695,28.34109036,6.671580041,0.742375205,175,13.924,714292,2.041874199,14,161.3738142,-2.684327178,9.46475124,6.452,58.59449,4.849999905,9.260000229,20.12999916,70.61000061,14.6349995,1.73,14.91053848,93,34.63881499,5.377625128,4.077487084,59.70842795,9151.381732,1.783666761,6.088510036,0.545723736,14.24120388,0.23,3.664850284,8.309271619,62.25,8358140,75.672,416280,1.494203353,99.9717023,13.6,401910002.1,179200,2.053806271,0.8084186,98.67949474,88.49054496,0.927957656,0.153030293,558,25.06171469,0.78384426,50.82991676,49.17008324,209469320,2.5,,13.431,8515770,13.94034928,28.57825261,29.41966767,7.42,1032640,28.87620338,12.32999992,86.569,1.084634853
Botswana,BWA,68.22926331,45.63301749,0.458066451,1.007890664,16,24.821,1638,3.64230522,,145.7132674,0.395680673,5.96867228,5.742,66.17048,2.319999933,20.37000084,17.75,61.88999939,44.53578693,2.874,1.776521383,2,1.89136327,11.97855256,1.690616757,27.3345332,7503.878588,3.98039539,6.721330166,0.412516505,43.52764493,5.01,3.238015589,3.780021698,60.12599945,566730,69.275,4560,2.676088923,150.0055899,37.6,69700000.36,3160,0,10.5236798,91.24445539,78.5138996,0.003529017,0.261967928,3,3.97732077,2.197416468,51.73076044,48.26923956,2254067,29.5,,30.554,581730,21.89172255,29.14323742,29.14323742,6.59,16120,88.06343186,22.07099915,69.446,3.277434194
Bermuda,BMU,100,5.555555556,5.555555556,,3,8.3,354,,13,,12.30490838,,8.3,,,,,,51.26981343,1.3,,27,19.29931031,20.79168529,1.320764482,18.51851852,113023.1856,-0.4328013,,,25.85139741,,,15.20177688,,54,81.65170732,,,,,,,0,0,99.90314002,99.90314002,,20.02616992,8,1183.685185,0.07199199,,,63919,,,0,4290,,0.000390137,2.079919023,,,77.12121084,,100,0.07199199
Belize,BLZ,91.72000122,7.540552389,3.945637878,0.877059628,6,20.786,216107,1.775127848,8,,-7.870683062,5.81922674,4.716,55.28901,3.390000105,17.01000023,15.59000015,67.40000153,56.35609479,2.307,6.436926836,45,87.0866824,20.18379998,6.369938959,56.96492766,5001.422157,2.906069731,7.472270012,,56.65453681,0.56,,4.32865446,64.03600311,22810,74.496,530,1.294665671,64.29904639,11.1,15870000.05,210,1.36012943,0.568513304,98.39929451,88.18441736,1.402893468,4.828683599,46,16.79399386,1.922979057,50.19252306,49.80747694,383071,6.2,104.4744797,54.276,22970,,20.59045099,37.67936557,6.22,1560,113.0106316,6.644000053,45.724,2.192219665
Belarus,BLR,100,41.64449699,28.14070352,3.067994136,9,9.9,802,6.283647736,9,481.3903139,0.038146791,5.52699471,12.7,74.35306,0.889999986,11.31000042,30.62999916,58.06000137,70.45504526,1.448,33.86912852,2,14.96390929,10.1740992,2.376261878,43.05153217,6360.062473,3.149197594,5.381110191,,68.93869099,0.18,4.872302206,2.830277682,64.52999878,202980,74.17560976,16730,1.182261729,122.925228,2.5,99140001.8,12010,0.560376168,0,96.51168256,97.8656717,0.546851907,2.408411793,1,46.50105922,-0.213824207,53.45605422,46.54394578,9438785,2.5,104.6179123,21.405,207600,14.67256897,9.353493353,9.353493353,11.45,88140,139.3937363,4.760000229,78.595,0.37445941
Bolivia,BOL,92.80000305,34.82599465,4.135511862,1.265444744,55,21.75,36734,2.000327663,14,145.6384339,-4.281655221,6.64209032,6.772,51.5617,4.940000057,31.05999947,19.47999954,49.45000076,25.98879466,2.73,4.4401541,8,15.43697131,7.652839061,0.750524781,47.31213884,3548.59078,4.223623511,,,31.12116966,0.09,2.272059872,8.142733047,71.80000305,1083300,71.239,25050,1.536596285,100.8164084,22.3,305219997.7,8770,2.221514719,11.97291782,92.25507792,62.06257966,0.228007016,3.445923814,106,10.480144,1.421890804,49.78339913,50.21660087,11353140,12.6,94.83978271,30.575,1098580,,30.8654915,30.8654915,4.43,56870,57.10996432,3.519999981,69.425,1.92006124
British Virgin Islands,VGB,100,46.66666667,6.666666667,,3,,1192,,12,,,,,,,,,,,,15.82108583,31,,,,24.13333333,,,2.694129944,,,,,,,150,,,,134.0648279,,,,,,99.86438356,,6.666666667,,20,198.6333333,0.768171966,,,29795,,79.60688019,52.277,150,,0.023926598,9.108814682,,,,,47.723,1.580752391
Brunei Darussalam,BRN,100,2.732447818,0.948766603,3.797896336,31,14.896,13566,16.64490862,9,99.4150543,6.928004928,2.41289377,4.445,69.63482,2.769999981,1.059999943,19.39999962,79.54000092,51.93227638,1.848,11.52826701,14,0.087582029,12.13911574,3.804741353,72.10626186,31628.47626,0.052237791,,,41.96404349,,1.025051793,10.29621983,65.38999939,5270,75.722,8830,2.636612485,131.9342228,9.4,,150,11.65617792,,99.90003241,,1.138519924,,127,81.39658444,1.049642828,48.03618053,51.96381947,428960,2.5,107.9787216,22.371,5770,,8.98950186,46.87211976,0.48,16620,93.89631987,8.699999809,77.629,1.458647824
